"DATA/10006857.CI.MPP.BHT.sac.d.T006_T030
","SYN/MPP.CI.BHT.semd.sac.m16.T006_T030
",4.304,51.554
"DATA/10006857.CI.MPP.BHT.sac.d.T006_T030
","SYN/MPP.CI.BHT.semd.sac.m16.T006_T030
",8.754,51.554
"DATA/10006857.CI.MPP.BHZ.sac.d.T006_T030
","SYN/MPP.CI.BHZ.semd.sac.m16.T006_T030
",-22.146,56.954
"DATA/10006857.CI.MPP.BHZ.sac.d.T006_T030
","SYN/MPP.CI.BHZ.semd.sac.m16.T006_T030
",-7.046,56.954
"DATA/10006857.CI.MPP.BHZ.sac.d.T006_T030
","SYN/MPP.CI.BHZ.semd.sac.m16.T006_T030
",6.004,56.954
"DATA/10006857.CI.MSJ.BHT.sac.d.T006_T030
","SYN/MSJ.CI.BHT.semd.sac.m16.T006_T030
",58.254,87.954
"DATA/10006857.CI.MSJ.BHT.sac.d.T006_T030
","SYN/MSJ.CI.BHT.semd.sac.m16.T006_T030
",58.254,111.354
"DATA/10006857.CI.MTP.BHT.sac.d.T006_T030
","SYN/MTP.CI.BHT.semd.sac.m16.T006_T030
",115.004,148.504
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",9.754,49.304
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",9.754,62.054
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",23.404,49.304
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",23.404,62.054
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",33.554,49.304
"DATA/10006857.CI.OSI.BHT.sac.d.T006_T030
","SYN/OSI.CI.BHT.semd.sac.m16.T006_T030
",33.554,62.054
